arm,subset,family,n,executed,metric,estimate,numerator,denominator,ci95_low,ci95_high
A,single_fault,I4,24,24,accuracy,0.0,0,24,0.0,0.0
A,single_fault,I5,24,24,VAR,,0,0,,
A,single_fault,I5,24,24,VRR,,0,0,,
A,single_fault,I5,24,24,VIR,,0,0,,
A,single_fault,I5,24,24,IAR,0.7083333333333334,17,24,0.5,0.875
A,single_fault,I5,24,24,IDR,0.2916666666666667,7,24,0.125,0.5
A,single_fault,I5,24,24,IDR_indet,,0,0,,
A,single_fault,I5,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,I5,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,I5,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,I5,24,24,accuracy,0.2916666666666667,7,24,0.125,0.5
A,single_fault,I6,24,24,VAR,,0,0,,
A,single_fault,I6,24,24,VRR,,0,0,,
A,single_fault,I6,24,24,VIR,,0,0,,
A,single_fault,I6,24,24,IAR,0.6666666666666666,16,24,0.4583333333333333,0.8333333333333334
A,single_fault,I6,24,24,IDR,0.3333333333333333,8,24,0.16666666666666666,0.5416666666666666
A,single_fault,I6,24,24,IDR_indet,,0,0,,
A,single_fault,I6,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,I6,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,I6,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,I6,24,24,accuracy,0.3333333333333333,8,24,0.16666666666666666,0.5416666666666666
A,single_fault,I7,24,24,VAR,,0,0,,
A,single_fault,I7,24,24,VRR,,0,0,,
A,single_fault,I7,24,24,VIR,,0,0,,
A,single_fault,I7,24,24,IAR,1.0,24,24,1.0,1.0
A,single_fault,I7,24,24,IDR,0.0,0,24,0.0,0.0
A,single_fault,I7,24,24,IDR_indet,,0,0,,
A,single_fault,I7,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,I7,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,I7,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,I7,24,24,accuracy,0.0,0,24,0.0,0.0
A,single_fault,I8,24,24,VAR,,0,0,,
A,single_fault,I8,24,24,VRR,,0,0,,
A,single_fault,I8,24,24,VIR,,0,0,,
A,single_fault,I8,24,24,IAR,1.0,24,24,1.0,1.0
A,single_fault,I8,24,24,IDR,0.0,0,24,0.0,0.0
A,single_fault,I8,24,24,IDR_indet,,0,0,,
A,single_fault,I8,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,I8,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,I8,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,I8,24,24,accuracy,0.0,0,24,0.0,0.0
A,single_fault,I9,96,96,VAR,,0,0,,
A,single_fault,I9,96,96,VRR,,0,0,,
A,single_fault,I9,96,96,VIR,,0,0,,
A,single_fault,I9,96,96,IAR,1.0,96,96,1.0,1.0
A,single_fault,I9,96,96,IDR,0.0,0,96,0.0,0.0
A,single_fault,I9,96,96,IDR_indet,,0,0,,
A,single_fault,I9,96,96,coverage,1.0,96,96,1.0,1.0
A,single_fault,I9,96,96,abstention,0.0,0,96,0.0,0.0
A,single_fault,I9,96,96,decision_coverage,1.0,96,96,1.0,1.0
A,single_fault,I9,96,96,accuracy,0.0,0,96,0.0,0.0
A,compound_fault,I2,24,24,VAR,,0,0,,
A,compound_fault,I2,24,24,VRR,,0,0,,
A,compound_fault,I2,24,24,VIR,,0,0,,
A,compound_fault,I2,24,24,IAR,1.0,24,24,1.0,1.0
A,compound_fault,I2,24,24,IDR,0.0,0,24,0.0,0.0
A,compound_fault,I2,24,24,IDR_indet,,0,0,,
A,compound_fault,I2,24,24,coverage,1.0,24,24,1.0,1.0
A,compound_fault,I2,24,24,abstention,0.0,0,24,0.0,0.0
A,compound_fault,I2,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,compound_fault,I2,24,24,accuracy,0.0,0,24,0.0,0.0
A,compound_fault,I3,48,48,VAR,,0,0,,
A,compound_fault,I3,48,48,VRR,,0,0,,
A,compound_fault,I3,48,48,VIR,,0,0,,
A,compound_fault,I3,48,48,IAR,0.0,0,48,0.0,0.0
A,compound_fault,I3,48,48,IDR,1.0,48,48,1.0,1.0
A,compound_fault,I3,48,48,IDR_indet,,0,0,,
A,compound_fault,I3,48,48,coverage,1.0,48,48,1.0,1.0
A,compound_fault,I3,48,48,abstention,0.0,0,48,0.0,0.0
A,compound_fault,I3,48,48,decision_coverage,1.0,48,48,1.0,1.0
A,compound_fault,I3,48,48,accuracy,1.0,48,48,1.0,1.0
A,compound_fault,I5,24,24,VAR,,0,0,,
A,compound_fault,I5,24,24,VRR,,0,0,,
A,compound_fault,I5,24,24,VIR,,0,0,,
A,compound_fault,I5,24,24,IAR,1.0,24,24,1.0,1.0
A,compound_fault,I5,24,24,IDR,0.0,0,24,0.0,0.0
A,compound_fault,I5,24,24,IDR_indet,,0,0,,
A,compound_fault,I5,24,24,coverage,1.0,24,24,1.0,1.0
A,compound_fault,I5,24,24,abstention,0.0,0,24,0.0,0.0
A,compound_fault,I5,24,24,decision_coverage,1.0,24,24,1.0,1.0
